realm,name,region,locale,population
367,洛萨,CN,zh_CN,NULL
368,深渊之巢,CN,zh_CN,NULL
369,激流之傲,CN,zh_CN,NULL
370,激流堡,CN,zh_CN,NULL
371,火喉,CN,zh_CN,NULL
372,火烟之谷,CN,zh_CN,NULL
373,烈焰峰,CN,zh_CN,NULL
374,熊猫酒仙,CN,zh_CN,NULL
375,熔火之心,CN,zh_CN,NULL
376,燃烧之刃,CN,zh_CN,NULL
377,燃烧平原,CN,zh_CN,NULL
378,狂热之刃,CN,zh_CN,NULL
379,玛多兰,CN,zh_CN,NULL
380,玛洛加尔,CN,zh_CN,NULL
381,玛里苟斯,CN,zh_CN,NULL
382,瓦拉纳,CN,zh_CN,NULL
383,白银之手,CN,zh_CN,NULL
384,白骨荒野,CN,zh_CN,NULL
385,石爪峰,CN,zh_CN,NULL
386,石锤,CN,zh_CN,NULL
387,破碎岭,CN,zh_CN,NULL
388,祖达克,CN,zh_CN,NULL
389,索瑞森,CN,zh_CN,NULL
390,红龙军团,CN,zh_CN,NULL
391,罗宁,CN,zh_CN,NULL
392,自由之风,CN,zh_CN,NULL
393,艾维娜,CN,zh_CN,NULL
394,范克里夫,CN,zh_CN,NULL
395,萨洛拉丝,CN,zh_CN,NULL
396,藏宝海湾,CN,zh_CN,NULL
397,蜘蛛王国,CN,zh_CN,NULL
398,血吼,CN,zh_CN,NULL
399,血色十字军,CN,zh_CN,NULL
400,贫瘠之地,CN,zh_CN,NULL
401,踏梦者,CN,zh_CN,NULL
402,辛达苟萨,CN,zh_CN,NULL
403,达克萨隆,CN,zh_CN,NULL
404,达尔坎,CN,zh_CN,NULL
405,迅捷微风,CN,zh_CN,NULL
406,远古海滩,CN,zh_CN,NULL
407,迦拉克隆,CN,zh_CN,NULL
408,迦玛兰,CN,zh_CN,NULL
409,金色平原,CN,zh_CN,NULL
410,阿拉索,CN,zh_CN,NULL
411,雷斧堡垒,CN,zh_CN,NULL
412,雷霆之王,CN,zh_CN,NULL
413,雷霆号角,CN,zh_CN,NULL
414,风暴峭壁,CN,zh_CN,NULL
415,鬼雾峰,CN,zh_CN,NULL
416,黑铁,CN,zh_CN,NULL
421,世界之樹,TW,zh_TW,68073
422,天空之牆,TW,zh_TW,65174
425,冰風崗哨,TW,zh_TW,56321
428,듀로탄,KR,ko_KR,78035
431,아즈샤라,KR,ko_KR,485644
432,데스윙,KR,ko_KR,105595
433,세나리우스,KR,ko_KR,111215
